epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4002.84,1.01021,1.3261,1.32824,0.50695,0.47525,0.4716,0.35056,1.00771,1.30152,1.34778,0.00406,0.00406,0.00406
62,4065.58,1.00553,1.32579,1.3284,0.51881,0.46405,0.46997,0.34964,1.00093,1.29593,1.34393,0.003961,0.003961,0.003961
63,4128.21,1.00116,1.31469,1.32464,0.5308,0.46026,0.47257,0.35078,1.00329,1.29598,1.34283,0.003862,0.003862,0.003862
64,4190.88,0.99894,1.30209,1.3201,0.51961,0.47296,0.47634,0.35383,1.00062,1.2879,1.34218,0.003763,0.003763,0.003763
65,4253.6,0.99465,1.3002,1.3191,0.52363,0.4717,0.47554,0.35256,1.00676,1.28649,1.34255,0.003664,0.003664,0.003664
66,4316.24,0.99292,1.28143,1.31246,0.5138,0.4727,0.47434,0.35249,1.00692,1.28899,1.34317,0.003565,0.003565,0.003565
67,4378.91,0.99072,1.2752,1.3148,0.50556,0.47563,0.47341,0.3518,1.00928,1.28551,1.34634,0.003466,0.003466,0.003466
68,4441.48,0.98199,1.26198,1.30166,0.51644,0.47378,0.47743,0.35407,1.00486,1.28371,1.3389,0.003367,0.003367,0.003367
69,4504.16,0.97594,1.26033,1.30436,0.52314,0.47117,0.47686,0.35414,1.00173,1.27832,1.33971,0.003268,0.003268,0.003268
70,4566.88,0.97696,1.24142,1.29863,0.52189,0.47413,0.47973,0.35738,0.99654,1.27253,1.33373,0.003169,0.003169,0.003169
71,4629.43,0.96631,1.2404,1.29462,0.50127,0.49281,0.48417,0.36184,0.99464,1.27408,1.33128,0.00307,0.00307,0.00307
72,4691.95,0.9731,1.23205,1.29665,0.52229,0.47727,0.48468,0.36168,0.99569,1.2727,1.33359,0.002971,0.002971,0.002971
73,4754.52,0.96187,1.21239,1.28759,0.53315,0.47127,0.48529,0.3618,0.99549,1.27589,1.33378,0.002872,0.002872,0.002872
74,4817.08,0.96613,1.21268,1.29122,0.53424,0.47792,0.4872,0.36397,0.99944,1.27614,1.33468,0.002773,0.002773,0.002773
75,4879.77,0.96298,1.20108,1.28622,0.56354,0.46665,0.48814,0.36456,0.998,1.26602,1.33259,0.002674,0.002674,0.002674
76,4942.24,0.95077,1.19499,1.28234,0.5514,0.47794,0.48966,0.36565,0.99663,1.26245,1.33179,0.002575,0.002575,0.002575
77,5004.85,0.94916,1.18569,1.28067,0.53096,0.48517,0.48929,0.36592,0.99679,1.26141,1.33095,0.002476,0.002476,0.002476
78,5067.36,0.95174,1.16887,1.27573,0.54022,0.48206,0.49248,0.36764,0.99869,1.26055,1.33099,0.002377,0.002377,0.002377
79,5130.05,0.94556,1.16304,1.27385,0.533,0.49256,0.49159,0.36655,0.99657,1.25559,1.33087,0.002278,0.002278,0.002278
80,5192.55,0.94052,1.1635,1.27204,0.54855,0.47613,0.49175,0.36674,0.99929,1.25763,1.33285,0.002179,0.002179,0.002179
81,5255.1,0.94274,1.14457,1.26722,0.52674,0.48151,0.49067,0.36533,1.00118,1.2535,1.33258,0.00208,0.00208,0.00208
