epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,5690.64,0.83616,0.89023,1.23007,0.59663,0.51525,0.54445,0.41289,0.95987,1.12983,1.36702,0.001387,0.001387,0.001387
89,5754.18,0.8393,0.88387,1.22717,0.58667,0.5182,0.54312,0.41351,0.96029,1.13089,1.36821,0.001288,0.001288,0.001288
90,5817.51,0.83602,0.87987,1.22849,0.59204,0.51508,0.54438,0.41394,0.96183,1.12969,1.36953,0.001189,0.001189,0.001189
91,5882.58,0.81785,0.7818,1.22705,0.60256,0.50292,0.54138,0.41126,0.96371,1.13359,1.3737,0.00109,0.00109,0.00109
92,5945.5,0.77782,0.6955,1.189,0.57862,0.52328,0.54055,0.41086,0.96491,1.13732,1.37647,0.000991,0.000991,0.000991
93,6008.18,0.76886,0.67661,1.18714,0.58884,0.50895,0.5401,0.41075,0.96635,1.14297,1.37993,0.000892,0.000892,0.000892
94,6071.01,0.75995,0.66084,1.17714,0.59122,0.50829,0.53838,0.40975,0.96818,1.14733,1.3831,0.000793,0.000793,0.000793
95,6133.9,0.75349,0.65105,1.17433,0.59084,0.50824,0.53781,0.40826,0.96979,1.1503,1.38574,0.000694,0.000694,0.000694
96,6196.64,0.74907,0.63979,1.17322,0.59645,0.50702,0.53778,0.4079,0.97248,1.15368,1.38879,0.000595,0.000595,0.000595
97,6259.55,0.73983,0.62929,1.16121,0.58579,0.51259,0.5374,0.40853,0.97388,1.15858,1.39034,0.000496,0.000496,0.000496
98,6322.04,0.73732,0.61845,1.15889,0.58946,0.51081,0.53596,0.40699,0.97601,1.16209,1.39261,0.000397,0.000397,0.000397
99,6384.93,0.73172,0.61386,1.1582,0.5896,0.51161,0.53467,0.4053,0.9779,1.16523,1.3944,0.000298,0.000298,0.000298
100,6447.67,0.72643,0.60696,1.15306,0.58325,0.51327,0.53387,0.40475,0.97997,1.16834,1.39673,0.000199,0.000199,0.000199
